edad;animal;dia_semana;estado_civil;fecha;seno;constante;hijos;trabajos;sueldo;peso
75.0;gato;miercoles;;2000-04-07;0,909297427;1.5;0.0;0.0;;32
60.0;pez;jueves;;2000-04-08;-0,756802495;1.5;2.0;0.0;;86
38.0;pez;jueves;;2000-04-09;-0,958924275;1.5;0.0;1.0;31.192.137.261.709.600;89
29.0;pajaro;lunes;;;0,909297427;1.5;2.0;0.0;;71
22.0;pez;lunes;;2000-04-11;0,841470985;1.5;0.0;3.0;2.303.380.838.199.580;
24.0;perro;miercoles;;2000-04-12;0;1.5;1.0;2.0;19.203.960.608.373.000;25
22.0;hamster;jueves;;2000-04-13;-0,279415498;1.5;2.0;0.0;;52
65.0;pez;lunes;;2000-04-14;-0,756802495;1.5;2.0;2.0;;76
70.0;pajaro;martes;;2000-04-15;-0,756802495;1.5;0.0;2.0;2.258.720.862.731.290;23
21.0;pajaro;miercoles;;2000-04-16;0,841470985;1.5;1.0;1.0;2.408.331.924.046.530;87
30.0;gato;lunes;;2000-04-17;-0,958924275;1.5;3.0;1.0;17.296.673.865.673.600;71
54.0;gato;viernes;;2000-04-18;0;1.5;0.0;0.0;1.962.670.622.964.410;83
70.0;hamster;martes;;2000-04-19;-0,279415498;1.5;0.0;1.0;20.329.195.441.602.100;25
58.0;gato;lunes;;2000-04-20;-0,279415498;1.5;0.0;1.0;23.155.922.095.280.600;53
32.0;pez;viernes;;2000-04-21;-0,279415498;1.5;0.0;1.0;2.394.514.643.995.610;65
33.0;hamster;viernes;;2000-04-22;0,141120008;1.5;3.0;0.0;15.558.356.498.685.900;75
38.0;pez;jueves;;2000-04-23;-0,279415498;1.5;1.0;2.0;;26
53.0;pez;miercoles;;2000-04-24;-0,958924275;1.5;0.0;0.0;;90
76.0;pez;jueves;;2000-04-25;0,141120008;1.5;0.0;1.0;17.765.040.338.187.200;54
41.0;hamster;viernes;;;0,141120008;1.5;1.0;0.0;;20
33.0;pez;jueves;;2000-04-27;0;1.5;2.0;2.0;2.172.295.569.983.290;38
31.0;pez;martes;;2000-04-28;-0,279415498;1.5;2.0;1.0;22.185.441.146.024.500;77
71.0;pajaro;viernes;;;-0,756802495;1.5;3.0;1.0;2.473.373.323.423.310;81
39.0;pajaro;miercoles;;2000-04-30;0,909297427;1.5;3.0;3.0;22.688.840.306.323.500;59
66.0;perro;lunes;;2000-05-01;0;1.5;2.0;2.0;19.711.505.173.654.100;71
67.0;gato;viernes;;2000-05-02;-0,958924275;1.5;0.0;1.0;;31
23.0;gato;jueves;;2000-05-03;0;1.5;1.0;3.0;1190102.0;53
59.0;hamster;martes;;2000-05-04;0,909297427;1.5;2.0;1.0;2.712.679.147.077.460;83
53.0;pajaro;jueves;;;-0,756802495;1.5;1.0;1.0;;56
18.0;pez;miercoles;;2000-05-06;0;1.5;0.0;0.0;25.689.915.701.780.800;50
;pajaro;martes;;2000-05-07;0,909297427;1.5;1.0;1.0;2.566.930.309.954.970;72
23.0;;lunes;;2000-05-08;-0,756802495;1.5;2.0;2.0;2.781.155.921.456.690;84
48.0;pez;martes;;2000-05-09;-0,958924275;1.5;0.0;0.0;2.239.084.143.682.310;87
18.0;pez;miercoles;;2000-05-10;-0,958924275;1.5;2.0;3.0;1234887.0;59
67.0;hamster;viernes;;2000-05-11;-0,279415498;1.5;2.0;0.0;;42
68.0;gato;lunes;;2000-05-12;-0,756802495;1.5;0.0;0.0;;45
54.0;gato;viernes;;2000-05-13;0,841470985;1.5;3.0;2.0;1173659.0;23
52.0;pajaro;viernes;;2000-05-14;0,841470985;1.5;0.0;1.0;23.429.427.078.270.200;66
66.0;gato;lunes;;2000-05-15;0,141120008;1.5;0.0;1.0;20.875.537.244.482.600;52
47.0;pajaro;miercoles;;2000-05-16;-0,279415498;1.5;0.0;1.0;;25
21.0;pez;lunes;;2000-05-17;0,141120008;1.5;2.0;1.0;11316707.0;65
52.0;gato;martes;;2000-05-18;0;1.5;0.0;2.0;22.855.880.705.516.600;29
60.0;gato;lunes;;2000-05-19;-0,958924275;1.5;2.0;2.0;2.752.366.648.286.970;73
;perro;jueves;;2000-05-20;0,841470985;1.5;1.0;1.0;1.971.986.945.233.370;23
66.0;;jueves;;2000-05-21;-0,756802495;1.5;2.0;0.0;16.541.470.770.493.000;46
57.0;pez;lunes;;2000-05-22;0,909297427;1.5;2.0;1.0;2.460.451.034.928.900;62
39.0;hamster;martes;;2000-05-23;0,141120008;1.5;0.0;2.0;20.358.930.173.213.600;34
27.0;pez;viernes;;2000-05-24;-0,279415498;1.5;0.0;3.0;;48
18.0;pez;jueves;;2000-05-25;0,841470985;1.5;0.0;2.0;26.189.028.499.735.300;41
28.0;perro;miercoles;;2000-05-26;-0,756802495;1.5;1.0;1.0;2.661.144.557.902.640;34
68.0;pajaro;viernes;;2000-05-27;0,909297427;1.5;0.0;1.0;2.619.891.723.588.060;44
61.0;hamster;martes;;2000-05-28;-0,756802495;1.5;0.0;3.0;13697675.0;59
76.0;hamster;martes;;2000-05-29;0,141120008;1.5;0.0;0.0;;25
41.0;perro;jueves;;2000-05-30;-0,958924275;1.5;2.0;1.0;;74
77.0;pajaro;viernes;;2000-05-31;-0,279415498;1.5;2.0;3.0;;56
20.0;gato;martes;;2000-06-01;-0,279415498;1.5;0.0;0.0;1.859.768.061.751.950;28
75.0;hamster;miercoles;;2000-06-02;-0,279415498;1.5;1.0;1.0;21.381.216.865.935.300;82
;gato;miercoles;;2000-06-03;-0,756802495;1.5;0.0;1.0;;62
53.0;pajaro;viernes;;2000-06-04;0;1.5;0.0;1.0;17.026.614.865.509.900;34
48.0;perro;lunes;;2000-06-05;0,909297427;1.5;0.0;2.0;21.591.825.133.757.800;90
77.0;hamster;lunes;;;-0,958924275;1.5;0.0;3.0;29.960.429.945.141;74
;hamster;lunes;;2000-06-07;-0,279415498;1.5;3.0;1.0;;88
36.0;perro;jueves;;;0,841470985;1.5;0.0;2.0;23.313.312.084.971.300;21
64.0;hamster;viernes;;;0,141120008;1.5;1.0;1.0;17.854.251.654.342.000;90
53.0;pajaro;lunes;;2000-06-10;-0,756802495;1.5;2.0;1.0;15.820.152.376.661.400;24
38.0;pez;viernes;;2000-06-11;0;1.5;2.0;0.0;1.951.690.816.553.090;32
35.0;pajaro;martes;;2000-06-12;-0,756802495;1.5;0.0;1.0;;29
68.0;hamster;miercoles;;2000-06-13;0,841470985;1.5;0.0;3.0;30.783.893.859.262.400;20
45.0;hamster;miercoles;;2000-06-14;-0,958924275;1.5;0.0;1.0;2.448.900.816.369.740;43
32.0;pez;lunes;;2000-06-15;0,909297427;1.5;0.0;1.0;;84
59.0;pez;miercoles;;2000-06-16;0,909297427;1.5;2.0;0.0;;
76.0;perro;viernes;;2000-06-17;0,841470985;1.5;0.0;1.0;24.610.352.869.529.600;73
19.0;pez;lunes;;2000-06-18;-0,958924275;1.5;3.0;0.0;17.001.959.327.071.600;75
54.0;pajaro;martes;;2000-06-19;0;1.5;2.0;1.0;25.520.350.440.072.600;36
28.0;;viernes;;2000-06-20;0;1.5;3.0;1.0;;82
40.0;n/a;lunes;;2000-06-21;0,909297427;1.5;1.0;0.0;28.498.472.861.178.000;30
61.0;hamster;viernes;;2000-06-22;0,841470985;1.5;3.0;1.0;1.918.337.278.721.560;75
58.0;gato;viernes;_;;0;1.5;0.0;1.0;251.275.442.059.394;52
29.0;hamster;viernes;;2000-06-24;-0,958924275;1.5;2.0;1.0;20.957.113.891.112.100;57
20.0;pez;viernes;;;0,909297427;1.5;1.0;1.0;26.539.006.074.989.100;35
69.0;gato;lunes;;2000-06-26;0;1.5;2.0;0.0;20.118.368.488.612.400;33
;pajaro;martes;;2000-06-27;0,841470985;1.5;1.0;1.0;23.052.181.077.887.400;71
50.0;pajaro;martes;;2000-06-28;-0,279415498;1.5;2.0;2.0;25.039.225.274.250.500;26
72.0;gato;miercoles;;2000-06-29;0,909297427;1.5;0.0;2.0;13977229.0;59
18.0;perro;martes;;2000-06-30;0,841470985;1.5;0.0;2.0;2.326.854.823.250.420;65
56.0;gato;lunes;;2000-07-01;0,141120008;1.5;0.0;0.0;27.873.140.869.389.100;61
37.0;pez;martes;;2000-07-02;-0,958924275;1.5;1.0;2.0;;45
64.0;hamster;martes;;2000-07-03;0,909297427;1.5;2.0;1.0;;83
60.0;pez;viernes;;2000-07-04;-0,958924275;1.5;2.0;2.0;;65
69.0;gato;jueves;;2000-07-05;-0,958924275;1.5;2.0;1.0;306.656.259.107.696;27
74.0;pajaro;jueves;;2000-07-06;-0,279415498;1.5;0.0;2.0;;31
78.0;gato;martes;;;0,909297427;1.5;3.0;0.0;21.575.400.696.522.700;39
58.0;hamster;viernes;;2000-07-08;-0,279415498;1.5;0.0;0.0;1131699.0;52
31.0;pajaro;viernes;;;-0,958924275;1.5;2.0;2.0;16.458.875.212.399.500;26
48.0;perro;lunes;;;0,841470985;1.5;0.0;0.0;;34
42.0;pajaro;miercoles;;2000-07-11;0,909297427;1.5;3.0;0.0;;63
79.0;perro;martes;;2000-07-12;0,909297427;1.5;0.0;1.0;2.632.026.542.572.470;45
20.0;gato;miercoles;;;0,841470985;1.5;3.0;0.0;11016716.0;36
21.0;;miercoles;;2000-07-14;-0,756802495;1.5;0.0;0.0;;90
48.0;hamster;miercoles;;2000-07-15;0;1.5;0.0;2.0;14099790.0;43
52.0;hamster;viernes;;2000-07-16;-0,756802495;1.5;2.0;1.0;29.870.489.794.733.100;54
61.0;;viernes;;2000-07-17;-0,279415498;1.5;1.0;1.0;20.492.344.533.782.400;43
31.0;pez;jueves;;;-0,958924275;1.5;1.0;0.0;16.775.777.258.228.100;23
66.0;pez;miercoles;;;-0,958924275;1.5;0.0;3.0;20.931.837.292.447.800;90
58.0;gato;lunes;;;0,141120008;1.5;1.0;3.0;2.946.647.245.885.910;52
26.0;gato;jueves;;2000-07-21;-0,279415498;1.5;0.0;1.0;;33
37.0;hamster;viernes;;2000-07-22;0,841470985;1.5;2.0;0.0;2.750.559.679.397.250;47
49.0;pajaro;jueves;;2000-07-23;-0,279415498;1.5;0.0;1.0;20.701.013.309.112.100;76
26.0;pajaro;jueves;;2000-07-24;0,909297427;1.5;0.0;1.0;24.379.367.553.410.600;50
44.0;pajaro;miercoles;;2000-07-25;0,909297427;1.5;0.0;0.0;25.176.500.076.341.700;89
20.0;pez;jueves;;2000-07-26;0;1.5;0.0;1.0;;64
;hamster;martes;;2000-07-27;0,909297427;1.5;1.0;0.0;16.208.394.706.227.900;71
70.0;pajaro;jueves;;2000-07-28;0,841470985;1.5;0.0;3.0;17.843.389.437.044.400;39
21.0;pez;miercoles;;2000-07-29;0,141120008;1.5;3.0;2.0;19.239.984.618.270.400;90
62.0;gato;martes;;;0,141120008;1.5;3.0;2.0;28.366.936.154.797.100;84
79.0;;jueves;;2000-07-31;0,841470985;1.5;0.0;3.0;22.628.635.045.818.700;30
32.0;gato;lunes;;2000-08-01;0,141120008;1.5;0.0;0.0;24.618.269.851.530.500;20
50.0;pajaro;viernes;;2000-08-02;0,141120008;1.5;0.0;1.0;20.116.629.312.717.200;50
22.0;perro;martes;;2000-08-03;0,841470985;1.5;2.0;0.0;25.381.174.350.369.600;66
21.0;hamster;viernes;;2000-08-04;0,909297427;1.5;0.0;1.0;;84
63.0;pez;miercoles;;2000-08-05;-0,279415498;1.5;0.0;1.0;24.453.346.139.498.200;25
29.0;hamster;jueves;;;-0,958924275;1.5;0.0;0.0;27.050.571.905.624.200;58
78.0;pez;miercoles;;;-0,958924275;1.5;2.0;1.0;1.651.059.954.013.060;71
40.0;gato;viernes;;2000-08-08;0,841470985;1.5;0.0;2.0;21.377.545.398.144.700;49
31.0;gato;viernes;;;0,909297427;1.5;0.0;0.0;26.094.127.439.840.100;52
75.0;pajaro;jueves;;;-0,756802495;1.5;0.0;2.0;;42
63.0;perro;jueves;;2000-08-11;-0,958924275;1.5;2.0;3.0;;80
29.0;pez;miercoles;;2000-08-12;0,841470985;1.5;0.0;2.0;2.368.017.279.852.760;90
74.0;perro;viernes;;;0;1.5;2.0;2.0;26.305.143.189.908.200;76
34.0;gato;viernes;;2000-08-14;0,841470985;1.5;2.0;1.0;;84
42.0;pez;jueves;;2000-08-15;0,909297427;1.5;2.0;3.0;17.858.931.122.858.600;23
47.0;perro;lunes;;2000-08-16;0,141120008;1.5;0.0;0.0;20.474.021.995.482.400;32
39.0;hamster;viernes;;2000-08-17;0;1.5;2.0;1.0;2.119.700.594.939.230;79
64.0;hamster;viernes;;2000-08-18;0;1.5;1.0;1.0;20.147.155.274.407.700;
43.0;gato;viernes;;2000-08-19;0,841470985;1.5;2.0;1.0;2.644.809.179.031.190;70
34.0;gato;miercoles;;;-0,958924275;1.5;1.0;1.0;21.396.306.130.368.800;49
;pajaro;martes;;2000-08-21;-0,958924275;1.5;2.0;2.0;2.455.906.410.265.580;70
75.0;gato;miercoles;;;0,141120008;1.5;2.0;2.0;15.304.502.978.446.900;24
72.0;pajaro;jueves;;;-0,279415498;1.5;0.0;0.0;2.399.797.530.215.420;68
71.0;gato;martes;;2000-08-24;-0,958924275;1.5;3.0;2.0;15.190.952.044.043.600;85
79.0;hamster;viernes;;2000-08-25;0,141120008;1.5;0.0;1.0;2.675.567.798.357.010;78
37.0;;martes;;2000-08-26;0;1.5;0.0;1.0;16.948.724.828.785.300;50
51.0;gato;viernes;;2000-08-27;-0,756802495;1.5;0.0;0.0;24.914.059.713.372.700;46
58.0;gato;miercoles;;2000-08-28;0;1.5;3.0;1.0;20.308.685.682.139.700;37
50.0;hamster;martes;;2000-08-29;0,909297427;1.5;1.0;3.0;15.612.147.216.665.500;44
54.0;gato;viernes;;2000-08-30;0,141120008;1.5;2.0;1.0;1.404.479.483.318.170;33
77.0;gato;viernes;;2000-08-31;-0,756802495;1.5;2.0;1.0;15.118.828.295.242.900;75
77.0;pez;lunes;;2000-09-01;0,141120008;1.5;0.0;2.0;;49
75.0;;martes;;2000-09-02;0,909297427;1.5;1.0;0.0;2.028.645.431.138.810;65
24.0;pajaro;jueves;;2000-09-03;0,909297427;1.5;1.0;2.0;24.537.200.218.003.000;62
39.0;pez;jueves;;2000-09-04;-0,756802495;1.5;0.0;2.0;22.607.418.727.989.100;32
49.0;gato;jueves;;2000-09-05;0,841470985;1.5;3.0;0.0;2.650.288.917.352.920;90
31.0;gato;martes;;;0;1.5;2.0;1.0;;87
25.0;perro;lunes;;2000-09-07;0;1.5;1.0;2.0;;32
74.0;perro;jueves;;2000-09-08;0,141120008;1.5;2.0;1.0;20.317.931.193.020.000;20
42.0;hamster;miercoles;;2000-09-09;0;1.5;1.0;1.0;2.199.444.165.682.500;60
33.0;perro;lunes;;2000-09-10;0,909297427;1.5;0.0;1.0;15.785.015.105.088.900;21
59.0;pajaro;miercoles;;;0;1.5;2.0;2.0;25.791.874.156.713.900;58
36.0;gato;jueves;;2000-09-12;0,909297427;1.5;1.0;0.0;;80
58.0;perro;viernes;;2000-09-13;0;1.5;3.0;1.0;1.659.375.931.000.210;46
72.0;pez;lunes;;2000-09-14;-0,279415498;1.5;1.0;2.0;;28
33.0;pez;miercoles;;;-0,958924275;1.5;0.0;3.0;1.926.492.761.163.110;50
29.0;hamster;viernes;;2000-09-16;0,141120008;1.5;1.0;0.0;20.344.300.888.098.000;72
56.0;pajaro;miercoles;;2000-09-17;0,909297427;1.5;2.0;0.0;20.733.578.809.981.000;66
65.0;gato;miercoles;;2000-09-18;0,141120008;1.5;3.0;1.0;1106447.0;71
47.0;;lunes;;2000-09-19;0,909297427;1.5;0.0;2.0;;37
75.0;gato;miercoles;;2000-09-20;0,141120008;1.5;2.0;3.0;18.929.754.653.997.700;35
19.0;hamster;lunes;;2000-09-21;0,141120008;1.5;0.0;1.0;2.468.980.801.711.290;79
49.0;gato;martes;;2000-09-22;-0,756802495;1.5;0.0;2.0;1.830.807.322.528.100;62
72.0;hamster;martes;;2000-09-23;-0,756802495;1.5;0.0;2.0;23.729.660.795.592.200;49
62.0;pajaro;lunes;;2000-09-24;0;1.5;3.0;3.0;15.184.663.067.844.100;73
42.0;pez;lunes;;2000-09-25;-0,279415498;1.5;3.0;1.0;1.949.817.552.116.760;68
79.0;gato;martes;;;-0,756802495;1.5;2.0;0.0;2.344.135.838.713.230;77
42.0;pajaro;jueves;;2000-09-27;-0,279415498;1.5;0.0;2.0;2.488.545.643.799.300;78
21.0;hamster;viernes;;2000-09-28;-0,279415498;1.5;3.0;2.0;19.461.520.259.610.800;35
36.0;hamster;martes;;2000-09-29;0,841470985;1.5;0.0;3.0;2.633.375.509.955.140;41
65.0;pajaro;jueves;;2000-09-30;0,909297427;1.5;0.0;2.0;15.208.318.433.709.200;73
21.0;pez;lunes;;2000-10-01;0,141120008;1.5;2.0;1.0;1.615.078.196.374.500;34
60.0;gato;jueves;;2000-10-02;-0,279415498;1.5;1.0;1.0;22.081.643.893.828.500;64
30.0;;lunes;;2000-10-03;0,841470985;1.5;2.0;1.0;20.589.523.685.412.500;29
56.0;gato;martes;;2000-10-04;-0,756802495;1.5;0.0;1.0;;45
;pez;jueves;;2000-10-05;-0,958924275;1.5;0.0;0.0;20.306.350.550.103.300;56
40.0;hamster;jueves;;2000-10-06;0,841470985;1.5;2.0;1.0;2.377.994.583.972.660;33
79.0;gato;martes;;2000-10-07;-0,958924275;1.5;0.0;2.0;;72
23.0;pez;miercoles;;2000-10-08;0,841470985;1.5;2.0;0.0;27.246.608.018.665.400;44
41.0;hamster;jueves;;2000-10-09;-0,958924275;1.5;3.0;1.0;21.874.779.393.850.800;66
61.0;hamster;jueves;;;-0,958924275;1.5;2.0;3.0;;
50.0;pajaro;miercoles;;;0,909297427;1.5;0.0;1.0;24.424.359.118.292.000;46
29.0;gato;jueves;;2000-10-12;0,141120008;1.5;0.0;1.0;28.301.208.163.767.200;77
58.0;perro;martes;;2000-10-13;0,141120008;1.5;0.0;0.0;19.485.659.662.610.000;31
38.0;pajaro;miercoles;;2000-10-14;0,141120008;1.5;2.0;2.0;15.399.695.177.446.300;20
28.0;perro;martes;;2000-10-15;0,909297427;1.5;0.0;2.0;1.775.616.161.224.980;61
72.0;perro;lunes;;2000-10-16;0;1.5;0.0;2.0;27.318.565.647.332.100;50
61.0;pajaro;viernes;_;2000-10-17;0,909297427;1.5;3.0;0.0;;51
55.0;pez;viernes;;2000-10-18;0;1.5;0.0;1.0;;72
